Roll_No,Date,Address,Name,CountryID,Country,InvoiceId,Payment
303,2012-08-27 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,3.96
304,2012-08-28 00:00:00,Ordynacka 10,Warsaw,,Poland,00-358,5.94
305,2012-08-31 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,8.91
306,2012-09-05 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,16.86
307,2012-09-13 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,1.99
308,2012-09-26 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,3.98
309,2012-09-26 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,3.98
310,2012-09-27 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,7.96
311,2012-09-28 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,11.94
312,2012-10-01 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,10.91
313,2012-10-06 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,16.86
314,2012-10-14 00:00:00,"Calle Lira, 198",Santiago,,Chile,,0.99
315,2012-10-27 00:00:00,"12,Community Centre",Delhi,,India,110017,1.98
316,2012-10-27 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,1.98
317,2012-10-28 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,3.96
318,2012-10-29 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,5.94
319,2012-11-01 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,8.91
320,2012-11-06 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,13.86
321,2012-11-14 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,0.99
322,2012-11-27 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,1.98
323,2012-11-27 00:00:00,"4, Rue Milton",Paris,,France,75009,1.98
324,2012-11-28 00:00:00,"11, Place Bellecour",Lyon,,France,69002,3.96
325,2012-11-29 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,5.94
326,2012-12-02 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,8.91
327,2012-12-07 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,13.86
328,2012-12-15 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,0.99
329,2012-12-28 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98
330,2012-12-28 00:00:00,627 Broadway,New York,NY,USA,10012-2612,1.98
331,2012-12-29 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,3.96
332,2012-12-30 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,5.94
333,2013-01-02 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,8.91
334,2013-01-07 00:00:00,"4, Rue Milton",Paris,,France,75009,13.86
335,2013-01-15 00:00:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,0.99
336,2013-01-28 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,1.98
337,2013-01-28 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,1.98
338,2013-01-29 00:00:00,"12,Community Centre",Delhi,,India,110017,3.96
339,2013-01-30 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,5.94
340,2013-02-02 00:00:00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,8.91
341,2013-02-07 00:00:00,627 Broadway,New York,NY,USA,10012-2612,13.86
342,2013-02-15 00:00:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,0.99
343,2013-02-28 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,1.98
344,2013-02-28 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,1.98
345,2013-03-01 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,3.96
346,2013-03-02 00:00:00,"11, Place Bellecour",Lyon,,France,69002,5.94
347,2013-03-05 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,8.91
348,2013-03-10 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,13.86
349,2013-03-18 00:00:00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,0.99
350,2013-03-31 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,1.98
351,2013-03-31 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98
352,2013-04-01 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,3.96
353,2013-04-02 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,5.94
354,2013-04-05 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,8.91
355,2013-04-10 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,13.86
356,2013-04-18 00:00:00,Ordynacka 10,Warsaw,,Poland,00-358,0.99
357,2013-05-01 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,1.98
358,2013-05-01 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,1.98
359,2013-05-02 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,3.96
360,2013-05-03 00:00:00,"12,Community Centre",Delhi,,India,110017,5.94
361,2013-05-06 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,8.91
362,2013-05-11 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,13.86
363,2013-05-19 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,0.99
364,2013-06-01 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,1.98
365,2013-06-01 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
366,2013-06-02 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,3.96
367,2013-06-03 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,5.94
368,2013-06-06 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,8.91
369,2013-06-11 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,13.86
370,2013-06-19 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,0.99
371,2013-07-02 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,1.98
372,2013-07-02 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,1.98
373,2013-07-03 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,3.96
374,2013-07-04 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,5.94
375,2013-07-07 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,8.91
376,2013-07-12 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,13.86
377,2013-07-20 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,0.99
378,2013-08-02 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,1.98
379,2013-08-02 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,1.98
380,2013-08-03 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,3.96
381,2013-08-04 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,5.94
382,2013-08-07 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,8.91
383,2013-08-12 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,13.86
384,2013-08-20 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,0.99
385,2013-09-02 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,1.98
386,2013-09-02 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,1.98
387,2013-09-03 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,3.96
388,2013-09-04 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,5.94
389,2013-09-07 00:00:00,"4, Rue Milton",Paris,,France,75009,8.91
390,2013-09-12 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,13.86
391,2013-09-20 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,0.99
392,2013-10-03 00:00:00,Ullevålsveien 14,Oslo,,Norway,171,1.98
393,2013-10-03 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,1.98
394,2013-10-04 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,3.96
395,2013-10-05 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,5.94
396,2013-10-08 00:00:00,627 Broadway,New York,NY,USA,10012-2612,8.91
397,2013-10-13 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,13.86
398,2013-10-21 00:00:00,"11, Place Bellecour",Lyon,,France,69002,0.99
399,2013-11-03 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,1.98
400,2013-11-03 00:00:00,Porthaninkatu 9,Helsinki,,Finland,530,1.98
401,2013-11-04 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,3.96
402,2013-11-05 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,5.94
403,2013-11-08 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,8.91
404,2013-11-13 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,25.86
405,2013-11-21 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,0.99
406,2013-12-04 00:00:00,801 W 4th Street,Reno,NV,USA,89503,1.98
407,2013-12-04 00:00:00,69 Salem Street,Boston,MA,USA,2113,1.98
408,2013-12-05 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,3.96
409,2013-12-06 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,5.94
410,2013-12-09 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,8.91
411,2013-12-14 00:00:00,Porthaninkatu 9,Helsinki,,Finland,530,13.86
412,2013-12-22 00:00:00,"12,Community Centre",Delhi,,India,110017,1.99
